,id,author_id,rank
113,144467753.0,143838343,13
114,144467753.0,144467753,14
115,3809476.0,1843103,1
116,3809476.0,46822591,2
117,3809476.0,144652649,3
118,3809476.0,46557347,4
119,3809476.0,3809476,5
120,1771844.0,1777948,1
121,1771844.0,1797822,2
122,1771844.0,32036618,3
123,1771844.0,1771844,4
124,1727358.0,1720529,1
125,1727358.0,1720772,2
126,1727358.0,1727358,3
127,1729154.0,144131553,1
128,1729154.0,1729154,2
129,145389998.0,1715321,1
130,145389998.0,1709598,2
131,145389998.0,1731133,3
132,145389998.0,145389998,4
133,1770537.0,32542103,1
134,1770537.0,1770537,2
135,143834867.0,144482217,1
136,143834867.0,143608596,2
137,143834867.0,50331526,3
138,143834867.0,1687701,4
139,143834867.0,38793222,5
140,143834867.0,2371549,6
141,143834867.0,4113761,7
142,143834867.0,1701130,8
143,143834867.0,35264592,9
144,143834867.0,144467753,10
145,143834867.0,143834867,11
146,7941748.0,39641533,1
147,7941748.0,7941748,2
148,145898058.0,145898058,1
149,145879573.0,2780009,1
150,145879573.0,2305624,2
151,145879573.0,39023402,3
152,145879573.0,114964532,4
153,145879573.0,145879573,5
154,1700194.0,1763896,1
155,1700194.0,69044839,2
156,1700194.0,144822891,3
157,1700194.0,1700194,4
158,2292948.0,2055924,1
159,2292948.0,143859272,2
160,2292948.0,1797221,3
161,2292948.0,1793636,4
162,2292948.0,2817840,5
163,2292948.0,39403445,6
164,2292948.0,2292948,7
165,2243689.0,145412074,1
166,2243689.0,145169163,2
167,2243689.0,145967056,3
168,2243689.0,2243689,4
169,145612191.0,40397539,6
170,145612191.0,40102806,7
171,145612191.0,144222395,8
172,145612191.0,144313414,9
173,145612191.0,145612191,10
174,1771108.0,1891470,1
175,1771108.0,11137066,2
176,1771108.0,101520744,3
177,1771108.0,144392313,4
178,1771108.0,1750905,5
179,1771108.0,1771108,6
180,144433810.0,1874286,1
181,144433810.0,1727042,2
182,144433810.0,33498709,3
183,144433810.0,144433810,4
184,2457873.0,9238650,1
185,2457873.0,49238595,2
186,2457873.0,2457873,3
187,3969047.0,1800634,1
188,3969047.0,2083381,2
189,3969047.0,1780068,3
190,3969047.0,32623620,4
191,3969047.0,145340591,5
192,3969047.0,3969047,6
193,1879294.0,1920395,1
194,1879294.0,21028132,2
195,1879294.0,37176218,3
196,1879294.0,144657821,4
197,1879294.0,2835423,5
198,1879294.0,41224057,6
199,1879294.0,2637728,7
200,1879294.0,1699751,8
201,1879294.0,1879294,9
202,1759010.0,1759010,1
203,40632770.0,2862527,1
204,40632770.0,34782684,2
205,40632770.0,40632770,3
206,1791522.0,2153304,1
207,1791522.0,2018385,2
208,1791522.0,2258227,3
209,1791522.0,153073216,4
210,1791522.0,1791522,5
211,1739175.0,2175374,1
