first_name,gender,is_initial
Soontharee,unknown,False
Kathleen,female,False
Kien,mostly_male,False
Jintavaree,unknown,False
Fernando,male,False
Michelle,female,False
Sorrek,unknown,False
Miroslav,male,False
Jelena,female,False
Ljiljana,female,False
Chetan,unknown,False
Raju,male,False
Nitin,unknown,False
Rong,andy,False
Avishkar,unknown,False
Slavko,male,False
Siniša,male,False
Tihomir,male,False
Sebastiano,male,False
Giovanni,male,False
Denis,male,False
Franck,male,False
Jean-François,unknown,False
Heiko,male,False
Judith,female,False
Margot,female,False
Dragica,female,False
Branko,male,False
Xiang,andy,False
Hasmukh,unknown,False
Meurig,male,False
Antony,male,False
Miguel,male,False
Filipe,male,False
Constantin,male,False
Claudiu,male,False
Boldur,unknown,False
Deepak,mostly_male,False
Henning,male,False
Yehia,male,False
Adel,male,False
Steve,male,False
Stan,male,False
Karen,female,False
Xiaowen,unknown,False
Fan,andy,False
Eliška,female,False
Mitesh,unknown,False
Sara,female,False
Diarmuid,male,False
Clifford,male,False
Shamsul,unknown,False
Rabiah,female,False
Salwani,unknown,False
Eyas,unknown,False
Hou,andy,False
Cao,mostly_male,False
Zeng,andy,False
Tunç,male,False
Karol,male,False
Philipp,male,False
Evan,male,False
Erin,mostly_female,False
Krysta,female,False
Stefano,male,False
April,female,False
Leanne,female,False
Pietro,male,False
Dennis,male,False
Timothy,male,False
Zhi,andy,False
Zi,andy,False
Clark,male,False
Peng,andy,False
Seon-Ah,unknown,False
Jae-Gun,unknown,False
Jae-Hak,unknown,False
Der-Tsai,unknown,False
Shao-Hui,andy,False
Amir,male,False
Malte,male,False
Bastian,male,False
Sahar,female,False
Doron,male,False
Gert,male,False
Mel,mostly_male,False
Reinhold,male,False
Seth,male,False
Nicola,female,False
Cornelia,female,False
Leonel,male,False
Danny,male,False
Boris,male,False
Hayrettin,male,False
Mannes,unknown,False
Dirk,male,False
Sana'a,unknown,False
Robin,mostly_male,False
Rick,male,False
Satyanarayana,unknown,False
Kiran,mostly_female,False
Mary,mostly_female,False
Bo,male,False
Daoli,unknown,False
Li,andy,False
Horst,male,False
Till,male,False
Margo,female,False
doc.MUDr.Radomír,unknown,False
Xie,andy,False
Qiu-lin,unknown,False
Melody,female,False
