author_id,gender
2753088,female
66378696,female
19239940,female
143616359,female
1691626,female
1719798,female
1403499914,female
2337586,female
2841351,female
1745628,female
39531527,female
2651711,female
1785234,female
34970948,female
1699377,female
1796093,female
49394250,female
48232692,female
2164837,female
2747434,female
1715020,female
3243714,female
48544905,female
69935741,female
144079451,female
2725326,female
40133519,female
1730043,female
2198831,female
2859057,female
40506244,female
2258277,female
7875262,female
3286523,female
34263753,female
1409236796,female
2728915,female
1414015026,female
3073520,female
1753944,female
1991847,female
50840750,female
144389142,female
2579509,female
145110087,female
48348086,female
1699786,female
1403499914,female
34715669,female
2422559,female
2241799,female
3227887,female
1791492,female
2485458,female
2264947,female
97700031,female
143901861,female
34639249,female
145078811,female
3015624,female
3028577,female
1699297,female
31846112,female
1723589,female
3221701,female
2474319,female
1791403,female
1396255414,female
144220460,female
2413389,female
2727981,female
144220460,female
153040201,female
1699297,female
2135004,female
1699297,female
1733684,female
38243764,female
144781963,female
1693011,female
117107404,female
1750781,female
2358239,female
2808184,female
1403675863,female
50628501,female
3517655,female
1715291,female
2729847,female
34492802,female
40649199,female
145842647,female
1730356,female
144032792,female
33467920,female
1700564,female
1688880,female
1749426,female
145333410,female
3259233,female
1410350304,female
2303106,female
2358239,female
1733684,female
2089305,female
2992889,female
65749410,female
32835846,female
143970564,female
2843067,female
2032517,female
23856235,female
1740050,female
143958873,female
34432300,female
145242995,female
8948708,female
1797313,female
2053828,female
47809306,female
1399028051,female
32256797,female
145789002,female
145755155,female
1799571,female
1684659,female
71101785,female
1400816398,female
31754393,female
1807515,female
145507951,female
1752576,female
1743112,female
144243990,female
144051479,female
1708398,female
2101864,female
51292600,female
144790245,female
1769711,female
143851817,female
144810596,female
48591270,female
3124437,female
2782824,female
70130909,female
1403892935,female
52598589,female
2348228,female
1786154,female
4208962,female
1741232,female
144946385,female
31518291,female
2503449,female
2989348,female
153211348,female
3259233,female
2508688,female
145280621,female
6006576,female
1708504,female
1405498682,female
1403755927,female
9415036,female
2766708,female
1735746,female
39499231,female
38504129,female
1680676,female
39400718,female
144984572,female
46739234,female
143991220,female
1907052,female
2918322,female
145890929,female
1748553,female
1711826,female
40105491,female
1797348,female
2053828,female
2174310,female
144220460,female
38543401,female
3003281,female
1701530,female
3172134,female
34798420,female
2820595,female
1714121,female
2327043,female
1733676,female
2221418,female
39893757,female
144792336,female
145210651,female
1754145,female
143850964,female
1701816,female
40520047,female
1700564,female
145850321,female
3148506,female
24509638,female
50655860,female
74608896,female
2357470,female
3054091,female
1753222,female
1808957,female
143819633,female
1975695,female
2582138,female
145165396,female
1854912,female
3010785,female
34656364,female
145626845,female
1702632,female
145037692,female
2522173,female
1798406,female
33712627,female
2694606,female
2840640,female
1405647086,female
145698833,female
2316842,female
2288094,female
50489998,female
49277147,female
1705795,female
1767721,female
47223888,female
1743322,female
71053527,female
39901749,female
89172840,female
1723724,female
1747714,female
143686989,female
25978408,female
1957919,female
46959393,female
1409283124,female
1810958,female
143753181,female
38743075,female
143753181,female
1786879,female
1718134,female
